id_resposta,formulario,timestamp,consentimento,tempo_experiencia,grupo_experiencia,familiaridade_gherkin,perfil_atuacao,bloco_no_formulario,historia,conjunto_anonimizado,historia_conjunto,modelo_fonte_controle_interno,clareza,completude,objetividade,separacao_cenarios,aderencia_historia_criterios,fidelidade_artefatos_entrada,comentario_bloco,comentario_geral_formulario
P08,F4_H05A_H07A_H04B_H06B,2026/06/28 6:07:48 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,Analista de testes,Bloco 4,H06,B,H06_B,GPT-5.5,4,2,3,2,2,2,,
P09,F5_H04A_H07A_H05B_H06B,2026/06/27 5:01:05 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,5,5,5,5,5,5,,
P09,F5_H04A_H07A_H05B_H06B,2026/06/27 5:01:05 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 2,H07,A,H07_A,GPT-5.5,5,5,5,5,5,5,,
P09,F5_H04A_H07A_H05B_H06B,2026/06/27 5:01:05 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 3,H05,B,H05_B,Gemini 3.1 Pro,5,5,3,5,5,5,,
P09,F5_H04A_H07A_H05B_H06B,2026/06/27 5:01:05 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 4,H06,B,H06_B,GPT-5.5,5,5,4,4,5,5,,
P10,F5_H04A_H07A_H05B_H06B,2026/06/29 3:08:17 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,3,3,3,4,4,4,,
P10,F5_H04A_H07A_H05B_H06B,2026/06/29 3:08:17 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 2,H07,A,H07_A,GPT-5.5,3,3,4,4,4,4,,
P10,F5_H04A_H07A_H05B_H06B,2026/06/29 3:08:17 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 3,H05,B,H05_B,Gemini 3.1 Pro,4,4,4,4,4,4,,
P10,F5_H04A_H07A_H05B_H06B,2026/06/29 3:08:17 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 4,H06,B,H06_B,GPT-5.5,3,4,4,4,4,4,,
P11,F6_H05A_H06A_H04B_H07B,2026/06/28 9:42:44 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 1,H05,A,H05_A,GPT-5.5,5,3,5,5,3,5,,Os cenários se resumiam a validar o critério de aceite mas não garantiam a qualidade da entrega e se a funcionalidade estava correta na usabilidade do usuário.
P11,F6_H05A_H06A_H04B_H07B,2026/06/28 9:42:44 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 2,H06,A,H06_A,Gemini 3.1 Pro,5,2,5,5,3,5,"Os cenários não foram suficientes para concluir se os critérios de aceite estão de fato funcionando considerando as ações do usuário. Seriam necessários no mínimo 3 cenários para cores, um para cada, além dos possíveis cenários de atualização da informação após obter uma das cores.",Os cenários se resumiam a validar o critério de aceite mas não garantiam a qualidade da entrega e se a funcionalidade estava correta na usabilidade do usuário.
P11,F6_H05A_H06A_H04B_H07B,2026/06/28 9:42:44 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 3,H04,B,H04_B,GPT-5.5,5,4,5,5,4,5,,Os cenários se resumiam a validar o critério de aceite mas não garantiam a qualidade da entrega e se a funcionalidade estava correta na usabilidade do usuário.
P11,F6_H05A_H06A_H04B_H07B,2026/06/28 9:42:44 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,5,4,5,5,5,5,,Os cenários se resumiam a validar o critério de aceite mas não garantiam a qualidade da entrega e se a funcionalidade estava correta na usabilidade do usuário.
P12,F6_H05A_H06A_H04B_H07B,2026/06/29 8:47:06 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 1,H05,A,H05_A,GPT-5.5,5,5,5,5,5,5,,
P12,F6_H05A_H06A_H04B_H07B,2026/06/29 8:47:06 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 2,H06,A,H06_A,Gemini 3.1 Pro,4,5,5,4,5,5,,
P12,F6_H05A_H06A_H04B_H07B,2026/06/29 8:47:06 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 3,H04,B,H04_B,GPT-5.5,5,5,5,5,5,5,,
P12,F6_H05A_H06A_H04B_H07B,2026/06/29 8:47:06 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,5,5,5,5,5,5,,
